#{"t_start": 1780298928.1501155, "env_id": "None"}
r,l,t
-16151.6,1800,14.232231
-7670.0,1800,21.996028
-2147.4,1800,28.456546
-661.1,1800,36.201564
-460.9,1800,42.858551
-325.4,1800,50.40831
-284.8,1800,57.447411
-243.6,1800,64.674034
-139.2,1800,71.732508
-114.9,1800,78.889935
-13.5,1800,85.953594
-159.0,1800,93.674485
-115.5,1800,100.163098
-120.0,1800,108.001323
-114.0,1800,114.430536
-116.7,1800,122.265586
-94.5,1800,128.65978
-102.6,1800,136.302537
-100.5,1800,143.099372
-112.8,1800,150.288434
-102.3,1800,157.320477
-103.5,1800,164.430439
-110.7,1800,171.460762
-90.0,1800,178.71483
-102.0,1800,185.640715
-163.1,1800,193.412395
-95.7,1800,199.799101
-122.7,1800,207.536988
-90.0,1800,213.993075
-99.6,1800,221.864923
-108.3,1800,228.35193
-94.8,1800,236.018062
-108.0,1800,243.653625
-124.5,1800,250.146124
-102.9,1800,257.922801
-97.2,1800,264.24426
-90.0,1800,271.996566
-112.2,1800,278.620656
-96.3,1800,286.143662
-97.8,1800,293.091266
-102.6,1800,300.094123
-98.7,1800,307.01566
-96.0,1800,314.014158
-138.8,1800,320.846855
-99.0,1800,328.136087
-99.9,1800,334.80358
-9745.1,1800,342.548586
-90.0,1800,348.928779
-96.0,1800,356.638306
-97.2,1800,362.910801
-90.0,1800,370.630734
-106.2,1800,377.279945
-107.1,1800,384.766988
-102.0,1800,391.687805
-98.1,1800,398.728959
