#{"t_start": 1782703144.736857, "env_id": "None"}
r,l,t
-15256.0,1800,11.817234
-6002.9,1800,18.84956
-1566.5,1800,25.112077
-519.4,1800,33.625472
-243.3,1800,39.9017
-144.0,1800,46.019247
-114.0,1800,51.054142
-96.0,1800,58.907887
-96.0,1800,67.142177
-90.0,1800,75.86782
-90.0,1800,82.309086
-90.0,1800,90.634456
-90.0,1800,97.805817
-90.0,1800,105.873175
-90.0,1800,112.708559
-90.0,1800,120.202727
-93.0,1800,126.743502
-90.0,1800,133.968153
-90.0,1800,140.900687
-90.0,1800,148.005659
-105.1,1800,154.272662
-90.0,1800,160.784105
-90.0,1800,165.50178
-90.0,1800,171.210306
-90.0,1800,176.381563
-90.0,1800,182.480478
-90.0,1800,187.472342
-90.0,1800,193.286612
-90.0,1800,198.896992
-90.0,1800,204.821373
-90.0,1800,210.394112
-105.1,1800,216.584883
-736.5,1800,222.337195
-117.0,1800,227.3755
-90.0,1800,233.226798
-93.0,1800,238.470147
-93.0,1800,244.349682
-90.0,1800,249.429059
-90.0,1800,255.903401
-90.0,1800,261.156966
-90.0,1800,267.558629
-90.0,1800,273.042204
-90.0,1800,279.512851
-90.0,1800,285.22927
-93.0,1800,291.150513
-90.0,1800,296.448901
-90.0,1800,302.920965
-90.0,1800,308.252996
-90.0,1800,314.024682
-90.0,1800,319.059493
-90.0,1800,326.236427
-90.0,1800,331.660443
-90.0,1800,337.679952
-90.0,1800,343.319135
-90.0,1800,349.652813
