#{"t_start": 1780298928.1497316, "env_id": "None"}
r,l,t
-3790.8,1800,14.232251
-7558.5,1800,21.996082
-1954.4,1800,28.4566
-575.8,1800,36.20164
-4128.2,1800,42.858431
-414.9,1800,50.408331
-241.3,1800,57.447451
-260.7,1800,64.674056
-120.9,1800,71.732554
-123.9,1800,78.889986
-118.6,1800,85.953672
-123.6,1800,93.674316
-116.1,1800,100.163133
-127.5,1800,108.001339
-94.2,1800,114.430582
-115.5,1800,122.265631
-108.6,1800,128.659863
-120.0,1800,136.302585
-108.3,1800,143.099251
-149.8,1800,150.288276
-96.6,1800,157.320495
-111.0,1800,164.430504
-90.0,1800,171.46083
-105.3,1800,178.714652
-90.0,1800,185.640795
-95.7,1800,193.41242
-115.5,1800,199.799098
-102.0,1800,207.537032
17.3,1800,213.993117
-96.3,1800,221.864954
-90.0,1800,228.35178
-94.5,1800,236.018095
-90.0,1800,243.653675
-105.3,1800,250.146154
-97.5,1800,257.922858
-102.3,1800,264.244298
-152.4,1800,271.996599
-106.2,1800,278.620593
-90.0,1800,286.143737
-104.4,1800,293.091317
-98.4,1800,300.094186
-90.0,1800,307.01574
-107.4,1800,314.014173
-84.0,1800,320.846931
-105.6,1800,328.136032
-90.0,1800,334.803636
-93.3,1800,342.548648
-88.2,1800,348.928829
-90.0,1800,356.638333
-90.0,1800,362.910828
-100.8,1800,370.630814
-93.9,1800,377.27983
-90.0,1800,384.767019
-103.5,1800,391.687856
-108.6,1800,398.729029
