cum_t,r,ma
1800,-22118.2,-22118.2
1800,-17424.0,-19771.1
1800,-3790.8,-14444.333333333334
1800,-16151.6,-14871.150000000001
3600,-7558.5,-13408.62
3600,-7971.2,-12502.383333333333
3600,-7670.0,-11812.042857142858
3600,-6770.9,-11181.9
5400,-1954.4,-10156.622222222222
5400,-2147.4,-9355.7
5400,-2168.0,-8702.272727272728
5400,-2145.6,-8155.883333333334
7200,-661.1,-7579.361538461539
7200,-575.8,-7079.107142857143
7200,-716.5,-6654.933333333333
7200,-3937.8,-6485.1125
9000,-297.7,-6121.14705882353
9000,-372.8,-5801.794444444445
9000,-4128.2,-5713.710526315789
9000,-460.9,-5451.070000000001
10800,-414.9,-5211.252380952381
10800,-348.2,-4990.204545454545
10800,-325.4,-4787.386956521739
10800,-368.4,-4603.2625
12600,-241.7,-4428.8
12600,-284.8,-4269.415384615385
12600,-230.7,-4119.833333333333
12600,-241.3,-3981.3142857142857
14400,-243.6,-3852.4275862068966
14400,-260.7,-3732.7033333333334
14400,-124.3,-3616.303225806452
14400,-176.4,-3508.80625
16200,-151.5,-3407.069696969697
16200,-142.5,-3311.0529411764705
16200,-120.9,-3219.905714285714
16200,-139.2,-3134.3305555555557
18000,-108.9,-3052.562162162162
18000,-123.9,-2975.492105263158
18000,-114.9,-2902.14358974359
18000,-116.7,-2832.5075
19800,-118.6,-2766.3146341463416
19800,-13.5,-2700.7714285714287
19800,-132.1,-2641.0348837209303
19800,-120.9,-2583.759090909091
21600,-159.0,-2529.875555555556
21600,-90.0,-2476.834782608696
21600,-123.6,-2426.7659574468084
21600,-118.5,-2378.6770833333335
23400,-93.0,-2332.030612244898
23400,-100.2,-2287.394
23400,-116.1,-1847.352
23400,-115.5,-1501.182
25200,-114.1,-1427.6480000000001
25200,-127.5,-1107.166
25200,-120.0,-958.3960000000001
25200,-108.9,-801.15
27000,-114.9,-650.048
27000,-114.0,-516.91
27000,-94.2,-479.70599999999996
27000,-96.3,-438.684
28800,-116.7,-397.65799999999996
28800,-96.0,-356.666
28800,-115.5,-345.754
28800,-106.8,-336.374
30600,-90.0,-323.844
30600,-90.0,-246.88800000000003
30600,-108.6,-243.106
30600,-94.5,-237.54
32400,-106.8,-157.112
32400,-120.0,-150.29399999999998
32400,-102.6,-144.048
32400,-99.3,-139.07
34200,-100.5,-134.572
34200,-108.3,-129.37
34200,-94.8,-126.43199999999999
34200,-90.0,-122.53599999999999
36000,-99.3,-119.90799999999999
36000,-90.0,-116.88199999999999
36000,-149.8,-115.006
36000,-112.8,-112.04800000000002
37800,-102.3,-111.608
37800,-96.6,-110.01199999999999
37800,-104.4,-109.07
37800,-93.0,-108.08
39600,-103.2,-107.726
39600,-112.6,-107.194
39600,-111.0,-107.23599999999999
39600,-103.5,-106.82799999999999
41400,-110.7,-106.74400000000001
41400,-90.0,-106.21
41400,-11532.8,-334.494
41400,-121.0,-336.644
43200,-100.5,-336.01200000000006
43200,-90.0,-335.394
43200,-105.3,-334.32
43200,-90.0,-334.32
45000,-102.0,-333.88800000000003
45000,-90.0,-333.31800000000004
45000,-99.6,-333.45000000000005
45000,-90.0,-333.24600000000004
46800,-111.0,-333.144
46800,-110.4,-333.042
46800,-163.1,-334.02200000000005
46800,-95.7,-333.38599999999997
48600,-115.5,-333.296
48600,-95.7,-333.032
48600,-98.4,-332.70200000000006
48600,-96.6,-332.35400000000004
50400,-96.3,-332.39599999999996
50400,-90.0,-332.27
50400,-122.7,-332.39
50400,-102.0,-332.51
52200,17.3,-329.85400000000004
52200,-90.0,-329.51800000000003
52200,-108.3,-329.884
52200,-90.0,-329.884
54000,-96.0,-329.63199999999995
54000,-115.4,-330.05
54000,-99.6,-329.906
54000,-96.3,-329.43199999999996
55800,-90.0,-329.18
55800,-108.3,-329.36
55800,-111.0,-329.57
55800,-95.4,-329.31200000000007
57600,-106.8,-329.55199999999996
57600,-102.3,-329.798
57600,-94.8,-329.708
57600,-94.5,-329.798
59400,-97.2,-328.746
59400,-115.5,-328.8
59400,-108.0,-328.914
59400,-90.0,-328.78200000000004
61200,-105.3,-328.8
61200,-124.5,-329.43
61200,-100.5,-329.376
61200,-99.3,-329.11
63000,-113.4,-329.158
63000,-102.6,-329.14
63000,-102.9,-328.98400000000004
63000,-97.5,-329.134
64800,-102.3,-100.52400000000003
64800,-97.2,-100.04800000000003
64800,-96.6,-99.97000000000004
64800,-99.9,-100.16800000000003
66600,-120.8,-100.47800000000002
66600,-109.5,-100.86800000000002
66600,-90.0,-100.62800000000003
66600,-152.4,-101.87600000000003
68400,-106.2,-102.00800000000005
68400,-112.2,-102.45200000000004
68400,-104.4,-102.32000000000004
68400,-123.9,-102.59000000000003
70200,-122.7,-101.78200000000004
70200,-90.0,-101.66800000000003
70200,-96.3,-101.28400000000003
70200,-90.0,-101.17000000000003
72000,-104.4,-101.29000000000003
72000,-97.8,-101.31400000000004
72000,-128.4,-101.95600000000002
72000,-99.6,-102.14800000000002
73800,-102.0,-101.73400000000004
73800,-93.6,-101.56600000000005
73800,-102.6,-103.96400000000003
73800,-98.4,-104.13200000000005
75600,-98.7,-103.94000000000004
75600,-90.0,-103.94000000000004
75600,-90.0,-103.82000000000004
75600,-96.3,-103.43800000000005
77400,-119.1,-103.82800000000003
77400,-99.6,-103.89400000000003
77400,-107.4,-104.24200000000002
77400,-96.0,-103.99600000000004
79200,-138.8,-104.55200000000005
79200,-84.0,-104.32400000000003
